[2026-07-14T19:45:15.627Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-14T19:45:15.630Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-14T19:45:15.631Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-14T19:45:15.632Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-14T19:45:15.633Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-14T19:45:15.634Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-14T19:45:15.635Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-14T19:45:15.636Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-14T19:45:15.637Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-15T03:30:16.729Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T03:30:16.734Z] [INFO] Worker map completed in 9ms
[2026-07-15T03:33:16.680Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T03:33:16.683Z] [INFO] Worker testgaps completed in 5ms
[2026-07-15T03:34:16.732Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T03:34:16.739Z] [INFO] Worker optimize completed in 12ms
[2026-07-15T03:37:16.775Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T03:37:16.779Z] [INFO] Worker audit completed in 7ms
[2026-07-15T03:45:16.745Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T03:45:16.750Z] [INFO] Worker map completed in 10ms
[2026-07-15T03:47:16.792Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T03:47:16.798Z] [INFO] Worker audit completed in 11ms
[2026-07-15T03:49:16.759Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T03:49:16.762Z] [INFO] Worker optimize completed in 5ms
[2026-07-15T03:51:17.417Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T03:51:17.422Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T03:51:17.428Z] [INFO] Worker consolidate completed in 15ms
[2026-07-15T03:53:16.697Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T03:53:16.700Z] [INFO] Worker testgaps completed in 5ms
[2026-07-15T03:57:16.823Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T03:57:16.828Z] [INFO] Worker audit completed in 10ms
[2026-07-15T04:00:16.777Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T04:00:16.782Z] [INFO] Worker map completed in 9ms
[2026-07-15T04:04:16.777Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T04:04:16.782Z] [INFO] Worker optimize completed in 9ms
[2026-07-15T04:07:16.854Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T04:07:16.860Z] [INFO] Worker audit completed in 11ms
[2026-07-15T04:13:16.713Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T04:13:16.720Z] [INFO] Worker testgaps completed in 11ms
[2026-07-15T04:15:16.809Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T04:15:16.814Z] [INFO] Worker map completed in 9ms
[2026-07-15T04:17:16.886Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T04:17:16.893Z] [INFO] Worker audit completed in 11ms
[2026-07-15T04:19:16.826Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T04:19:16.834Z] [INFO] Worker optimize completed in 15ms
[2026-07-15T04:21:17.447Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T04:21:17.450Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T04:21:17.454Z] [INFO] Worker consolidate completed in 10ms
[2026-07-15T04:27:16.910Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T04:27:16.914Z] [INFO] Worker audit completed in 6ms
[2026-07-15T04:30:16.826Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T04:30:16.830Z] [INFO] Worker map completed in 8ms
[2026-07-15T04:33:16.745Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T04:33:16.750Z] [INFO] Worker testgaps completed in 9ms
[2026-07-15T04:34:16.855Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T04:34:16.858Z] [INFO] Worker optimize completed in 7ms
[2026-07-15T04:37:16.935Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T04:37:16.943Z] [INFO] Worker audit completed in 14ms
[2026-07-15T04:45:16.854Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T04:45:16.860Z] [INFO] Worker map completed in 10ms
[2026-07-15T04:47:16.965Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T04:47:16.970Z] [INFO] Worker audit completed in 11ms
[2026-07-15T04:49:16.871Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T04:49:16.878Z] [INFO] Worker optimize completed in 13ms
[2026-07-15T04:51:17.463Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T04:51:17.465Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T04:51:17.467Z] [INFO] Worker consolidate completed in 7ms
[2026-07-15T04:53:16.766Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T04:53:16.769Z] [INFO] Worker testgaps completed in 6ms
[2026-07-15T04:57:16.994Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T04:57:16.997Z] [INFO] Worker audit completed in 6ms
[2026-07-15T05:00:16.868Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T05:00:16.871Z] [INFO] Worker map completed in 4ms
[2026-07-15T05:04:16.902Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T05:04:16.906Z] [INFO] Worker optimize completed in 9ms
[2026-07-15T05:07:17.011Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T05:07:17.015Z] [INFO] Worker audit completed in 6ms
[2026-07-15T05:13:16.775Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T05:13:16.780Z] [INFO] Worker testgaps completed in 8ms
[2026-07-15T05:15:16.885Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T05:15:16.887Z] [INFO] Worker map completed in 5ms
[2026-07-15T05:17:17.026Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T05:17:17.029Z] [INFO] Worker audit completed in 6ms
[2026-07-15T05:19:16.916Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T05:19:16.920Z] [INFO] Worker optimize completed in 6ms
[2026-07-15T05:21:17.477Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T05:21:17.479Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T05:21:17.481Z] [INFO] Worker consolidate completed in 6ms
[2026-07-15T05:27:17.053Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T05:27:17.060Z] [INFO] Worker audit completed in 13ms
[2026-07-15T05:30:16.901Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T05:30:16.904Z] [INFO] Worker map completed in 7ms
[2026-07-15T05:33:16.818Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T05:33:16.821Z] [INFO] Worker testgaps completed in 7ms
[2026-07-15T05:34:16.944Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T05:34:16.953Z] [INFO] Worker optimize completed in 20ms
[2026-07-15T05:37:17.081Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T05:37:17.091Z] [INFO] Worker audit completed in 17ms
[2026-07-15T05:45:16.921Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T05:45:16.927Z] [INFO] Worker map completed in 13ms
[2026-07-15T05:47:17.127Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T05:47:17.137Z] [INFO] Worker audit completed in 18ms
[2026-07-15T05:49:17.014Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T05:49:17.029Z] [INFO] Worker optimize completed in 36ms
[2026-07-15T05:51:17.505Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T05:51:17.511Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T05:51:17.519Z] [INFO] Worker consolidate completed in 21ms
[2026-07-15T05:53:16.843Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T05:53:16.854Z] [INFO] Worker testgaps completed in 20ms
[2026-07-15T05:57:17.156Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T05:57:17.163Z] [INFO] Worker audit completed in 11ms
[2026-07-15T06:00:16.992Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T06:00:17.020Z] [INFO] Worker map completed in 47ms
[2026-07-15T06:04:17.106Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T06:04:17.114Z] [INFO] Worker optimize completed in 25ms
[2026-07-15T06:07:17.208Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T06:07:17.217Z] [INFO] Worker audit completed in 46ms
[2026-07-15T06:13:16.916Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T06:13:16.925Z] [INFO] Worker testgaps completed in 19ms
[2026-07-15T06:15:17.068Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T06:15:17.076Z] [INFO] Worker map completed in 46ms
[2026-07-15T06:17:17.288Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T06:17:17.293Z] [INFO] Worker audit completed in 14ms
[2026-07-15T06:19:17.145Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T06:19:17.186Z] [INFO] Worker optimize completed in 48ms
[2026-07-15T06:21:17.539Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T06:21:17.552Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T06:21:17.558Z] [INFO] Worker consolidate completed in 24ms
[2026-07-15T06:27:17.351Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T06:27:17.359Z] [INFO] Worker audit completed in 48ms
[2026-07-15T06:30:17.143Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T06:30:17.148Z] [INFO] Worker map completed in 46ms
[2026-07-15T06:33:16.956Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T06:33:16.960Z] [INFO] Worker testgaps completed in 10ms
[2026-07-15T06:34:17.255Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T06:34:17.258Z] [INFO] Worker optimize completed in 44ms
[2026-07-15T06:37:17.412Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T06:37:17.416Z] [INFO] Worker audit completed in 46ms
[2026-07-15T06:45:17.170Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T06:45:17.175Z] [INFO] Worker map completed in 11ms
[2026-07-15T06:47:17.475Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T06:47:17.478Z] [INFO] Worker audit completed in 10ms
[2026-07-15T06:49:17.284Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T06:49:17.288Z] [INFO] Worker optimize completed in 18ms
[2026-07-15T06:51:17.616Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T06:51:17.619Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T06:51:17.622Z] [INFO] Worker consolidate completed in 12ms
[2026-07-15T06:53:16.981Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T06:53:16.985Z] [INFO] Worker testgaps completed in 10ms
[2026-07-15T06:57:17.501Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T06:57:17.505Z] [INFO] Worker audit completed in 10ms
[2026-07-15T07:00:17.236Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T07:00:17.240Z] [INFO] Worker map completed in 10ms
[2026-07-15T07:04:17.310Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T07:04:17.312Z] [INFO] Worker optimize completed in 6ms
[2026-07-15T07:48:37.255Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-15T07:48:37.266Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-15T07:48:37.267Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-15T07:48:37.268Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-15T07:48:37.269Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-15T07:48:37.270Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-15T07:48:37.271Z] [INFO] Scheduled backup (interval: 86400s, first run in 43598.442s)
[2026-07-15T07:48:37.272Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-15T07:48:37.273Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-15T07:48:37.281Z] [INFO] Daemon started (PID: 10160, CPUs: 8, workers: 7, maxCpuLoad: 6.4, minFreeMemoryPercent: 10%)
[2026-07-15T07:48:37.289Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T07:48:37.301Z] [INFO] Worker map completed in 17ms
[2026-07-15T07:48:41.483Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-15T07:48:41.485Z] [INFO] Daemon already running (PID: 10160), skipping start
[2026-07-15T07:50:37.283Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T07:50:37.286Z] [INFO] Worker audit completed in 6ms
[2026-07-15T07:52:37.274Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T07:52:37.277Z] [INFO] Worker optimize completed in 5ms
[2026-07-15T07:54:37.275Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T07:54:37.277Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T07:54:37.279Z] [INFO] Worker consolidate completed in 7ms
[2026-07-15T07:56:37.282Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T07:56:37.286Z] [INFO] Worker testgaps completed in 8ms
[2026-07-15T08:00:37.285Z] [INFO] Worker harness deferred: Memory too low: 8.1% free
[2026-07-15T08:00:37.301Z] [INFO] Worker audit deferred: Memory too low: 8.1% free
[2026-07-15T08:03:37.363Z] [INFO] Worker map deferred: Memory too low: 9.3% free
[2026-07-15T08:07:37.317Z] [INFO] Worker optimize deferred: Memory too low: 10.0% free
[2026-07-15T08:10:37.327Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T08:10:37.334Z] [INFO] Worker audit completed in 15ms
[2026-07-15T08:10:37.344Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-15T08:10:37.509Z] [INFO] Worker harness completed in 169ms
[2026-07-15T08:10:37.518Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T08:10:37.540Z] [INFO] Starting worker: map (2/2 concurrent)
[2026-07-15T08:10:37.555Z] [INFO] Worker audit completed in 41ms
[2026-07-15T08:10:37.563Z] [INFO] Worker map completed in 39ms
[2026-07-15T08:10:37.605Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T08:10:37.615Z] [INFO] Worker optimize completed in 39ms
[2026-07-15T08:16:37.305Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T08:16:37.309Z] [INFO] Worker testgaps completed in 9ms
[2026-07-15T08:18:37.389Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T08:18:37.394Z] [INFO] Worker map completed in 8ms
[2026-07-15T08:20:37.354Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T08:20:37.358Z] [INFO] Worker audit completed in 10ms
[2026-07-15T08:22:37.382Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T08:22:37.385Z] [INFO] Worker optimize completed in 8ms
[2026-07-15T08:24:37.413Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T08:24:37.418Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T08:24:37.422Z] [INFO] Worker consolidate completed in 13ms
[2026-07-15T08:30:37.591Z] [INFO] Worker audit deferred: Memory too low: 6.0% free
[2026-07-15T08:33:37.596Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T08:33:37.600Z] [INFO] Worker map completed in 19ms
[2026-07-15T08:33:37.609Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T08:33:37.611Z] [INFO] Worker audit completed in 6ms
[2026-07-15T08:36:37.508Z] [INFO] Worker testgaps deferred: Memory too low: 6.2% free
[2026-07-15T08:37:37.555Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T08:37:37.565Z] [INFO] Worker optimize completed in 21ms
[2026-07-15T08:37:37.601Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T08:37:37.607Z] [INFO] Worker testgaps completed in 26ms
[2026-07-15T08:40:37.617Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T08:40:37.625Z] [INFO] Worker audit completed in 14ms
[2026-07-15T08:48:37.675Z] [INFO] Worker map deferred: Memory too low: 9.1% free
[2026-07-15T08:50:37.666Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T08:50:37.670Z] [INFO] Worker audit completed in 11ms
[2026-07-15T08:50:37.681Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T08:50:37.685Z] [INFO] Worker map completed in 8ms
[2026-07-15T08:52:37.595Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T08:52:37.598Z] [INFO] Worker optimize completed in 8ms
[2026-07-15T08:54:37.501Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T08:54:37.507Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T08:54:37.509Z] [INFO] Worker consolidate completed in 13ms
[2026-07-15T08:56:37.523Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T08:56:37.526Z] [INFO] Worker testgaps completed in 7ms
[2026-07-15T09:00:37.690Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T09:00:37.696Z] [INFO] Worker audit completed in 10ms
[2026-07-15T09:03:37.708Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T09:03:37.711Z] [INFO] Worker map completed in 7ms
[2026-07-15T09:07:37.618Z] [INFO] Worker optimize deferred: Memory too low: 7.2% free
[2026-07-15T09:10:37.712Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T09:10:37.715Z] [INFO] Worker audit completed in 6ms
[2026-07-15T09:10:37.721Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T09:10:37.724Z] [INFO] Worker optimize completed in 5ms
[2026-07-15T09:16:37.554Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T09:16:37.564Z] [INFO] Worker testgaps completed in 15ms
[2026-07-15T09:18:37.730Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T09:18:37.734Z] [INFO] Worker map completed in 8ms
[2026-07-15T09:20:37.741Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T09:20:37.744Z] [INFO] Worker audit completed in 7ms
[2026-07-15T09:22:37.641Z] [INFO] Worker optimize deferred: Memory too low: 9.2% free
[2026-07-15T09:24:37.536Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T09:24:37.542Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T09:24:37.545Z] [INFO] Worker consolidate completed in 13ms
[2026-07-15T09:24:37.555Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T09:24:37.559Z] [INFO] Worker optimize completed in 8ms
[2026-07-15T09:30:37.677Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T09:30:37.680Z] [INFO] Worker audit completed in 5ms
[2026-07-15T09:33:37.637Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T09:33:37.641Z] [INFO] Worker map completed in 7ms
[2026-07-15T09:36:37.458Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T09:36:37.462Z] [INFO] Worker testgaps completed in 7ms
[2026-07-15T09:37:37.537Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T09:37:37.539Z] [INFO] Worker optimize completed in 5ms
[2026-07-15T09:40:37.657Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T09:40:37.660Z] [INFO] Worker audit completed in 5ms
[2026-07-15T09:48:37.632Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T09:48:37.636Z] [INFO] Worker map completed in 7ms
[2026-07-15T09:50:37.663Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T09:50:37.665Z] [INFO] Worker audit completed in 6ms
[2026-07-15T09:52:37.547Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T09:52:37.548Z] [INFO] Worker optimize completed in 3ms
[2026-07-15T09:54:37.422Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T09:54:37.424Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T09:54:37.425Z] [INFO] Worker consolidate completed in 6ms
[2026-07-15T09:56:37.463Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T09:56:37.465Z] [INFO] Worker testgaps completed in 4ms
[2026-07-15T10:00:37.687Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T10:00:37.688Z] [INFO] Worker audit completed in 3ms
[2026-07-15T10:03:37.653Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T10:03:37.656Z] [INFO] Worker map completed in 8ms
[2026-07-15T10:07:37.567Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T10:07:37.569Z] [INFO] Worker optimize completed in 5ms
[2026-07-15T10:10:37.707Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T10:10:37.709Z] [INFO] Worker audit completed in 4ms
[2026-07-15T10:16:37.493Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T10:16:37.495Z] [INFO] Worker testgaps completed in 5ms
[2026-07-15T10:18:37.670Z] [INFO] Worker map deferred: Memory too low: 9.9% free
[2026-07-15T10:20:37.716Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T10:20:37.718Z] [INFO] Worker audit completed in 4ms
[2026-07-15T10:20:37.723Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T10:20:37.724Z] [INFO] Worker map completed in 4ms
[2026-07-15T10:22:37.582Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T10:22:37.585Z] [INFO] Worker optimize completed in 6ms
[2026-07-15T10:24:37.446Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T10:24:37.447Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T10:24:37.449Z] [INFO] Worker consolidate completed in 6ms
[2026-07-15T10:30:37.733Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T10:30:37.735Z] [INFO] Worker audit completed in 6ms
[2026-07-15T10:33:37.676Z] [INFO] Worker map deferred: Memory too low: 7.1% free
[2026-07-15T10:36:37.497Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T10:36:37.499Z] [INFO] Worker testgaps completed in 4ms
[2026-07-15T10:36:37.505Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T10:36:37.507Z] [INFO] Worker map completed in 4ms
[2026-07-15T10:37:37.597Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T10:37:37.599Z] [INFO] Worker optimize completed in 5ms
[2026-07-15T10:40:37.753Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T10:40:37.755Z] [INFO] Worker audit completed in 6ms
[2026-07-15T10:48:37.694Z] [INFO] Worker map deferred: Memory too low: 9.2% free
[2026-07-15T10:50:37.770Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T10:50:37.773Z] [INFO] Worker audit completed in 6ms
[2026-07-15T10:50:37.780Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T10:50:37.782Z] [INFO] Worker map completed in 5ms
[2026-07-15T10:52:37.620Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T10:52:37.622Z] [INFO] Worker optimize completed in 6ms
[2026-07-15T10:54:37.458Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T10:54:37.464Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T10:54:37.466Z] [INFO] Worker consolidate completed in 10ms
[2026-07-15T10:56:37.530Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T10:56:37.533Z] [INFO] Worker testgaps completed in 6ms
[2026-07-15T11:00:37.838Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T11:00:37.841Z] [INFO] Worker audit completed in 10ms
[2026-07-15T11:03:37.778Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T11:03:37.781Z] [INFO] Worker map completed in 6ms
[2026-07-15T11:07:37.702Z] [INFO] Worker optimize deferred: Memory too low: 7.1% free
[2026-07-15T11:10:37.876Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T11:10:37.880Z] [INFO] Worker audit completed in 10ms
[2026-07-15T11:10:37.886Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T11:10:37.891Z] [INFO] Worker optimize completed in 8ms
[2026-07-15T11:16:37.595Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T11:16:37.601Z] [INFO] Worker testgaps completed in 13ms
[2026-07-15T11:18:37.796Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T11:18:37.799Z] [INFO] Worker map completed in 8ms
[2026-07-15T11:20:37.890Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T11:20:37.894Z] [INFO] Worker audit completed in 8ms
[2026-07-15T11:22:37.728Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T11:22:37.732Z] [INFO] Worker optimize completed in 9ms
[2026-07-15T11:24:37.542Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-15T11:24:37.558Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-15T11:24:37.564Z] [INFO] Worker consolidate completed in 26ms
[2026-07-15T11:30:37.908Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T11:30:37.910Z] [INFO] Worker audit completed in 4ms
[2026-07-15T11:33:37.835Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-15T11:33:37.839Z] [INFO] Worker map completed in 12ms
[2026-07-15T11:36:37.638Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-15T11:36:37.646Z] [INFO] Worker testgaps completed in 13ms
[2026-07-15T11:37:37.746Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-15T11:37:37.748Z] [INFO] Worker optimize completed in 6ms
[2026-07-15T11:40:37.924Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-15T11:40:37.926Z] [INFO] Worker audit completed in 5ms
